accepts	accepts@1.2.13
es6-map	es6-map@0.1.5
es6-set	es6-set@0.1.5
es6-symbol	es6-symbol@3.1.1
es6-weak-map	es6-weak-map@2.0.2
escape-html	escape-html@1.0.2
escape-string-regexp	escape-string-regexp@1.0.2
escope	escope@3.6.0
eslint	eslint@3.19.0
eslint-config-airbnb-base	eslint-config-airbnb-base@11.2.0
eslint-import-resolver-node	eslint-import-resolver-node@0.2.3
eslint-module-utils	eslint-module-utils@2.0.0
eslint-module-utils/node_modules/debug	debug@2.2.0
eslint-module-utils/node_modules/ms	ms@0.7.1
eslint-plugin-import	eslint-plugin-import@2.3.0
eslint-plugin-import/node_modules/doctrine	doctrine@1.5.0
eslint/node_modules/lodash	lodash@4.17.4
espree	espree@3.4.3
esprima	esprima@3.1.3
esquery	esquery@1.0.0
esrecurse	esrecurse@4.1.0
esrecurse/node_modules/estraverse	estraverse@4.1.1
estraverse	estraverse@4.2.0
esutils	esutils@2.0.2
etag	etag@1.7.0
event-emitter	event-emitter@0.3.5
exit-hook	exit-hook@1.1.1
express	express@3.21.2
express-session	express-session@1.11.3
express-session/node_modules/debug	debug@2.2.0
express-session/node_modules/ms	ms@0.7.1
express-session/node_modules/uid-safe	uid-safe@2.0.0
express/node_modules/debug	debug@2.2.0
express/node_modules/ms	ms@0.7.1
fast-levenshtein	fast-levenshtein@2.0.6
figures	figures@1.7.0
figures/node_modules/escape-string-regexp	escape-string-regexp@1.0.5
file-entry-cache	file-entry-cache@2.0.0
finalhandler	finalhandler@0.4.0
finalhandler/node_modules/debug	debug@2.2.0
finalhandler/node_modules/ee-first	ee-first@1.1.1
finalhandler/node_modules/ms	ms@0.7.1
finalhandler/node_modules/on-finished	on-finished@2.3.0
find-up	find-up@1.1.2
flat-cache	flat-cache@1.2.2
forwarded	forwarded@0.1.0
fresh	fresh@0.3.0
fs.realpath	fs.realpath@1.0.0
function-bind	function-bind@1.1.0
generate-function	generate-function@2.0.0
generate-object-property	generate-object-property@1.2.0
glob	glob@7.1.2
globals	globals@9.17.0
globby	globby@5.0.0
graceful-fs	graceful-fs@4.1.11
growl	growl@1.9.2
has	has@1.0.1
has-ansi	has-ansi@2.0.0
hosted-git-info	hosted-git-info@2.4.2
http-errors	http-errors@1.3.1
hubot	hubot@2.19.0
hubot-test-helper	hubot-test-helper@0.0.7
hubot-test-helper/node_modules/accepts	accepts@1.1.4
hubot-test-helper/node_modules/basic-auth	basic-auth@1.0.0
hubot-test-helper/node_modules/batch	batch@0.5.1
hubot-test-helper/node_modules/body-parser	body-parser@1.9.3
hubot-test-helper/node_modules/body-parser/node_modules/qs	qs@2.3.3
hubot-test-helper/node_modules/bytes	bytes@1.0.0
hubot-test-helper/node_modules/commander	commander@1.3.2
hubot-test-helper/node_modules/compression	compression@1.2.2
hubot-test-helper/node_modules/connect	connect@2.27.1
hubot-test-helper/node_modules/connect-timeout	connect-timeout@1.4.0
hubot-test-helper/node_modules/cookie	cookie@0.1.2
hubot-test-helper/node_modules/cookie-signature	cookie-signature@1.0.5
hubot-test-helper/node_modules/crc	crc@3.2.1
hubot-test-helper/node_modules/csrf	csrf@2.0.7
hubot-test-helper/node_modules/csurf	csurf@1.6.6
hubot-test-helper/node_modules/debug	debug@2.1.3
hubot-test-helper/node_modules/debug/node_modules/ms	ms@0.7.0
hubot-test-helper/node_modules/errorhandler	errorhandler@1.2.4
hubot-test-helper/node_modules/escape-html	escape-html@1.0.1
hubot-test-helper/node_modules/etag	etag@1.5.1
hubot-test-helper/node_modules/express	express@3.18.1
hubot-test-helper/node_modules/express-session	express-session@1.9.3
hubot-test-helper/node_modules/express-session/node_modules/uid-safe	uid-safe@1.0.1
hubot-test-helper/node_modules/finalhandler	finalhandler@0.3.2
hubot-test-helper/node_modules/fresh	fresh@0.2.4
hubot-test-helper/node_modules/http-errors	http-errors@1.2.8
hubot-test-helper/node_modules/hubot	hubot@2.13.2
hubot-test-helper/node_modules/iconv-lite	iconv-lite@0.4.5
hubot-test-helper/node_modules/merge-descriptors	merge-descriptors@0.0.2
hubot-test-helper/node_modules/methods	methods@1.1.0
hubot-test-helper/node_modules/mime	mime@1.2.11
hubot-test-helper/node_modules/mime-db	mime-db@1.12.0
hubot-test-helper/node_modules/mime-types	mime-types@2.0.14
hubot-test-helper/node_modules/mkdirp	mkdirp@0.5.0
hubot-test-helper/node_modules/morgan	morgan@1.4.1
hubot-test-helper/node_modules/ms	ms@0.6.2
hubot-test-helper/node_modules/negotiator	negotiator@0.4.9
hubot-test-helper/node_modules/pause	pause@0.0.1
hubot-test-helper/node_modules/qs	qs@2.3.0
hubot-test-helper/node_modules/raw-body	raw-body@1.3.1
hubot-test-helper/node_modules/response-time	response-time@2.2.0
hubot-test-helper/node_modules/rndm	rndm@1.1.1
hubot-test-helper/node_modules/send	send@0.10.1
hubot-test-helper/node_modules/serve-favicon	serve-favicon@2.1.7
hubot-test-helper/node_modules/serve-index	serve-index@1.5.3
hubot-test-helper/node_modules/serve-static	serve-static@1.7.2
hubot-test-helper/node_modules/uid-safe	uid-safe@1.1.0
iconv-lite	iconv-lite@0.4.11
ignore	ignore@3.3.3
imurmurhash	imurmurhash@0.1.4
inflight	inflight@1.0.6
inherits	inherits@2.0.3
inquirer	inquirer@0.12.0
inquirer/node_modules/lodash	lodash@4.17.4
interpret	interpret@1.0.3
ipaddr.js	ipaddr.js@1.0.5
is-arrayish	is-arrayish@0.2.1
is-builtin-module	is-builtin-module@1.0.0
is-fullwidth-code-point	is-fullwidth-code-point@1.0.0
is-my-json-valid	is-my-json-valid@2.16.0
is-path-cwd	is-path-cwd@1.0.0
is-path-in-cwd	is-path-in-cwd@1.0.0
is-path-inside	is-path-inside@1.0.0
is-property	is-property@1.0.2
is-resolvable	is-resolvable@1.0.0
isarray	isarray@1.0.0
jade	jade@0.26.3
jade/node_modules/commander	commander@0.6.1
jade/node_modules/mkdirp	mkdirp@0.3.0
js-tokens	js-tokens@3.0.1
js-yaml	js-yaml@3.8.4
json-stable-stringify	json-stable-stringify@1.0.1
jsonify	jsonify@0.0.0
jsonpointer	jsonpointer@4.0.1
keypress	keypress@0.1.0
levn	levn@0.3.0
load-json-file	load-json-file@2.0.0
locate-path	locate-path@2.0.0
locate-path/node_modules/path-exists	path-exists@3.0.0
lodash	lodash@3.10.1
lodash.cond	lodash.cond@4.5.2
log	log@1.4.0
lru-cache	lru-cache@2.7.3
media-typer	media-typer@0.3.0
merge-descriptors	merge-descriptors@1.0.0
method-override	method-override@2.3.10
method-override/node_modules/debug	debug@2.6.9
method-override/node_modules/vary	vary@1.1.2
methods	methods@1.1.2
mime	mime@1.3.4
mime-db	mime-db@1.54.0
mime-types	mime-types@2.1.35
mime-types/node_modules/mime-db	mime-db@1.52.0
minimatch	minimatch@3.0.4
minimist	minimist@0.0.8
mkdirp	mkdirp@0.5.1
mocha	mocha@2.5.3
mocha/node_modules/commander	commander@2.3.0
mocha/node_modules/debug	debug@2.2.0
mocha/node_modules/glob	glob@3.2.11
mocha/node_modules/minimatch	minimatch@0.3.0
mocha/node_modules/ms	ms@0.7.1
mocha/node_modules/supports-color	supports-color@1.2.0
morgan	morgan@1.6.1
morgan/node_modules/debug	debug@2.2.0
morgan/node_modules/ee-first	ee-first@1.1.1
morgan/node_modules/ms	ms@0.7.1
morgan/node_modules/on-finished	on-finished@2.3.0
ms	ms@2.0.0
multiparty	multiparty@3.3.2
multiparty/node_modules/isarray	isarray@0.0.1
multiparty/node_modules/readable-stream	readable-stream@1.1.14
multiparty/node_modules/string_decoder	string_decoder@0.10.31
mute-stream	mute-stream@0.0.5
mz	mz@1.3.0
native-or-bluebird	native-or-bluebird@1.1.2
natural-compare	natural-compare@1.4.0
negotiator	negotiator@0.5.3
nock	nock@2.18.2
nock/node_modules/debug	debug@1.0.4
nock/node_modules/lodash	lodash@2.4.1
nock/node_modules/ms	ms@0.6.2
node-foursquare-venues	node-foursquare-venues@1.1.0
normalize-package-data	normalize-package-data@2.3.8
number-is-nan	number-is-nan@1.0.1
object-assign	object-assign@4.1.1
on-finished	on-finished@2.1.1
on-headers	on-headers@1.0.1
once	once@1.4.0
onetime	onetime@1.1.0
optionator	optionator@0.8.2
optparse	optparse@1.0.4
os-homedir	os-homedir@1.0.2
p-limit	p-limit@1.1.0
p-locate	p-locate@2.0.0
parse-json	parse-json@2.2.0
parseurl	parseurl@1.3.3
path-exists	path-exists@2.1.0
path-is-absolute	path-is-absolute@1.0.1
path-is-inside	path-is-inside@1.0.2
path-parse	path-parse@1.0.5
path-type	path-type@2.0.0
pause	pause@0.1.0
pify	pify@2.3.0
pinkie	pinkie@2.0.4
pinkie-promise	pinkie-promise@2.0.1
pkg-dir	pkg-dir@1.0.0
pluralize	pluralize@1.2.1
prelude-ls	prelude-ls@1.1.2
process-nextick-args	process-nextick-args@1.0.7
progress	progress@1.1.8
propagate	propagate@0.3.1
proxy-addr	proxy-addr@1.0.10
qs	qs@2.2.5
ramda	ramda@0.23.0
random-bytes	random-bytes@1.0.0
range-parser	range-parser@1.0.3
raw-body	raw-body@2.1.7
raw-body/node_modules/bytes	bytes@2.4.0
raw-body/node_modules/iconv-lite	iconv-lite@0.4.13
read-pkg	read-pkg@2.0.0
read-pkg-up	read-pkg-up@2.0.0
read-pkg-up/node_modules/find-up	find-up@2.1.0
readable-stream	readable-stream@2.2.9
readline2	readline2@1.0.1
rechoir	rechoir@0.6.2
require-uncached	require-uncached@1.0.3
resolve	resolve@1.3.3
resolve-from	resolve-from@1.0.1
response-time	response-time@2.3.4
response-time/node_modules/depd	depd@2.0.0
response-time/node_modules/on-headers	on-headers@1.1.0
restore-cursor	restore-cursor@1.0.1
rimraf	rimraf@2.6.1
rndm	rndm@1.2.0
run-async	run-async@0.1.0
rx-lite	rx-lite@3.1.2
safe-buffer	safe-buffer@5.0.1
scmp	scmp@1.0.0
scoped-http-client	scoped-http-client@0.11.0
semver	semver@5.3.0
send	send@0.13.0
send/node_modules/debug	debug@2.2.0
send/node_modules/ee-first	ee-first@1.1.1
send/node_modules/ms	ms@0.7.1
send/node_modules/on-finished	on-finished@2.3.0
send/node_modules/statuses	statuses@1.2.1
serve-favicon	serve-favicon@2.3.2
serve-favicon/node_modules/ms	ms@0.7.2
serve-index	serve-index@1.7.3
serve-index/node_modules/debug	debug@2.2.0
serve-index/node_modules/escape-html	escape-html@1.0.3
serve-index/node_modules/ms	ms@0.7.1
serve-static	serve-static@1.10.3
serve-static/node_modules/debug	debug@2.2.0
serve-static/node_modules/depd	depd@1.1.2
serve-static/node_modules/destroy	destroy@1.0.4
serve-static/node_modules/ee-first	ee-first@1.1.1
serve-static/node_modules/escape-html	escape-html@1.0.3
serve-static/node_modules/ms	ms@0.7.1
serve-static/node_modules/on-finished	on-finished@2.3.0
serve-static/node_modules/send	send@0.13.2
serve-static/node_modules/statuses	statuses@1.2.1
shelljs	shelljs@0.7.7
sigmund	sigmund@1.0.1
slice-ansi	slice-ansi@0.0.4
spdx-correct	spdx-correct@1.0.2
spdx-expression-parse	spdx-expression-parse@1.0.4
spdx-license-ids	spdx-license-ids@1.2.2
sprintf-js	sprintf-js@1.0.3
statuses	statuses@1.3.1
stream-counter	stream-counter@0.2.0
stream-counter/node_modules/isarray	isarray@0.0.1
stream-counter/node_modules/readable-stream	readable-stream@1.1.14
stream-counter/node_modules/string_decoder	string_decoder@0.10.31
string-width	string-width@1.0.2
string_decoder	string_decoder@1.0.1
strip-ansi	strip-ansi@3.0.1
strip-bom	strip-bom@3.0.0
strip-json-comments	strip-json-comments@2.0.1
supports-color	supports-color@2.0.0
table	table@3.8.3
table/node_modules/is-fullwidth-code-point	is-fullwidth-code-point@2.0.0
table/node_modules/lodash	lodash@4.17.4
table/node_modules/string-width	string-width@2.0.0
text-table	text-table@0.2.0
thenify	thenify@3.3.0
thenify-all	thenify-all@1.6.0
through	through@2.3.8
to-iso-string	to-iso-string@0.0.2
tryit	tryit@1.0.3
tsscmp	tsscmp@1.0.5
type-check	type-check@0.3.2
type-detect	type-detect@0.1.1
type-is	type-is@1.5.7
type-is/node_modules/mime-db	mime-db@1.12.0
type-is/node_modules/mime-types	mime-types@2.0.14
typedarray	typedarray@0.0.6
uid-safe	uid-safe@2.1.4
unpipe	unpipe@1.0.0
user-home	user-home@2.0.0
util-deprecate	util-deprecate@1.0.2
utils-merge	utils-merge@1.0.0
validate-npm-package-license	validate-npm-package-license@3.0.1
vary	vary@1.0.1
vhost	vhost@3.0.2
wordwrap	wordwrap@1.0.0
wrappy	wrappy@1.0.2
write	write@0.2.1
xtend	xtend@4.0.1
